station identifier,data,observation type,observation value,TMAX_F
ITE00100550,18640117,TMAX,-63,-81.4
ITE00100550,18640118,TMAX,-50,-58.0
ITE00100550,18640114,TMAX,-50,-58.0
ITE00100550,18640113,TMAX,-43,-45.400000000000006
ITE00100550,18640115,TMAX,-31,-23.800000000000004
ITE00100550,18640103,TMAX,-28,-18.4
ITE00100550,18640116,TMAX,-25,-13.0
ITE00100550,18640112,TMAX,-25,-13.0
ITE00100550,18640105,TMAX,-19,-2.200000000000003
ITE00100550,18640211,TMAX,-18,-0.3999999999999986
ITE00100550,18640119,TMAX,-16,3.1999999999999993
ITE00100550,18640111,TMAX,-15,5.0
ITE00100550,18640106,TMAX,-13,8.599999999999998
ITE00100550,18640210,TMAX,-10,14.0
ITE00100550,18640120,TMAX,-9,15.8
ITE00100550,18640208,TMAX,-6,21.2
ITE00100550,18640107,TMAX,-4,24.8
ITE00100550,18640121,TMAX,-4,24.8
ITE00100550,18640104,TMAX,0,32.0
ITE00100550,18640220,TMAX,0,32.0
ITE00100550,18640131,TMAX,1,33.8
ITE00100550,18640110,TMAX,6,42.8
ITE00100550,18640102,TMAX,8,46.4
ITE00100550,18640209,TMAX,9,48.2
ITE00100550,18640122,TMAX,9,48.2
ITE00100550,18640101,TMAX,10,50.0
ITE00100550,18640202,TMAX,11,51.8
ITE00100550,18640108,TMAX,13,55.400000000000006
ITE00100550,18640109,TMAX,13,55.400000000000006
ITE00100550,18640201,TMAX,13,55.400000000000006
ITE00100550,18641225,TMAX,15,59.0
ITE00100550,18640206,TMAX,15,59.0
ITE00100550,18641226,TMAX,16,60.8
ITE00100550,18641227,TMAX,20,68.0
ITE00100550,18641207,TMAX,23,73.4
ITE00100550,18640123,TMAX,25,77.0
ITE00100550,18640212,TMAX,25,77.0
ITE00100550,18640207,TMAX,29,84.2
ITE00100550,18641205,TMAX,30,86.0
ITE00100550,18640205,TMAX,30,86.0
ITE00100550,18640130,TMAX,31,87.80000000000001
ITE00100550,18641206,TMAX,31,87.80000000000001
ITE00100550,18641213,TMAX,31,87.80000000000001
ITE00100550,18641231,TMAX,33,91.4
ITE00100550,18640129,TMAX,35,95.0
ITE00100550,18640214,TMAX,38,100.4
ITE00100550,18640125,TMAX,38,100.4
ITE00100550,18640213,TMAX,38,100.4
ITE00100550,18641208,TMAX,39,102.2
ITE00100550,18640124,TMAX,39,102.2
ITE00100550,18641223,TMAX,40,104.0
ITE00100550,18641224,TMAX,40,104.0
ITE00100550,18640219,TMAX,40,104.0
ITE00100550,18640217,TMAX,44,111.2
ITE00100550,18640222,TMAX,44,111.2
ITE00100550,18640127,TMAX,44,111.2
ITE00100550,18641214,TMAX,44,111.2
ITE00100550,18641212,TMAX,46,114.8
ITE00100550,18640128,TMAX,46,114.8
ITE00100550,18640203,TMAX,50,122.0
ITE00100550,18641111,TMAX,50,122.0
ITE00100550,18641107,TMAX,50,122.0
ITE00100550,18641230,TMAX,50,122.0
ITE00100550,18641222,TMAX,50,122.0
ITE00100550,18640223,TMAX,50,122.0
ITE00100550,18640126,TMAX,53,127.4
ITE00100550,18640204,TMAX,54,129.2
ITE00100550,18641204,TMAX,56,132.8
ITE00100550,18641108,TMAX,59,138.2
ITE00100550,18641210,TMAX,60,140.0
ITE00100550,18641228,TMAX,63,145.4
ITE00100550,18641221,TMAX,63,145.4
ITE00100550,18640407,TMAX,63,145.4
ITE00100550,18641209,TMAX,65,149.0
ITE00100550,18641203,TMAX,65,149.0
ITE00100550,18641127,TMAX,65,149.0
ITE00100550,18640228,TMAX,66,150.8
ITE00100550,18640225,TMAX,66,150.8
ITE00100550,18641211,TMAX,66,150.8
ITE00100550,18640226,TMAX,68,154.4
ITE00100550,18641215,TMAX,69,156.2
ITE00100550,18640229,TMAX,69,156.2
ITE00100550,18641229,TMAX,71,159.8
ITE00100550,18641112,TMAX,71,159.8
ITE00100550,18641123,TMAX,73,163.4
ITE00100550,18641202,TMAX,73,163.4
ITE00100550,18641219,TMAX,75,167.0
ITE00100550,18640218,TMAX,75,167.0
ITE00100550,18640215,TMAX,75,167.0
ITE00100550,18641124,TMAX,75,167.0
ITE00100550,18641218,TMAX,76,168.8
ITE00100550,18641220,TMAX,76,168.8
ITE00100550,18641121,TMAX,76,168.8
ITE00100550,18640224,TMAX,78,172.4
ITE00100550,18640408,TMAX,78,172.4
ITE00100550,18640304,TMAX,79,174.20000000000002
ITE00100550,18641110,TMAX,79,174.20000000000002
ITE00100550,18641116,TMAX,80,176.0
ITE00100550,18640328,TMAX,81,177.8
ITE00100550,18641106,TMAX,81,177.8
ITE00100550,18640227,TMAX,81,177.8
ITE00100550,18640216,TMAX,81,177.8
ITE00100550,18640330,TMAX,83,181.4
ITE00100550,18641216,TMAX,84,183.20000000000002
ITE00100550,18640221,TMAX,84,183.20000000000002
ITE00100550,18641217,TMAX,85,185.0
ITE00100550,18640302,TMAX,88,190.4
ITE00100550,18641109,TMAX,88,190.4
ITE00100550,18641130,TMAX,88,190.4
ITE00100550,18640324,TMAX,89,192.20000000000002
ITE00100550,18640305,TMAX,91,195.8
ITE00100550,18641201,TMAX,93,199.4
ITE00100550,18641129,TMAX,94,201.20000000000002
ITE00100550,18640422,TMAX,96,204.8
ITE00100550,18640318,TMAX,96,204.8
ITE00100550,18640317,TMAX,98,208.4
ITE00100550,18641113,TMAX,101,213.8
ITE00100550,18640417,TMAX,101,213.8
ITE00100550,18640319,TMAX,103,217.4
ITE00100550,18641105,TMAX,103,217.4
ITE00100550,18641128,TMAX,104,219.20000000000002
ITE00100550,18641103,TMAX,106,222.8
ITE00100550,18640306,TMAX,108,226.4
ITE00100550,18640327,TMAX,108,226.4
ITE00100550,18641122,TMAX,109,228.20000000000002
ITE00100550,18640301,TMAX,109,228.20000000000002
ITE00100550,18640410,TMAX,110,230.0
ITE00100550,18640321,TMAX,110,230.0
ITE00100550,18641117,TMAX,110,230.0
ITE00100550,18641126,TMAX,113,235.4
ITE00100550,18640329,TMAX,113,235.4
ITE00100550,18641118,TMAX,113,235.4
ITE00100550,18640303,TMAX,113,235.4
ITE00100550,18641102,TMAX,114,237.20000000000002
ITE00100550,18641119,TMAX,115,239.0
ITE00100550,18641120,TMAX,118,244.4
ITE00100550,18641007,TMAX,119,246.20000000000002
ITE00100550,18640315,TMAX,121,249.8
ITE00100550,18641005,TMAX,123,253.4
ITE00100550,18641125,TMAX,125,257.0
ITE00100550,18641006,TMAX,125,257.0
ITE00100550,18640320,TMAX,126,258.8
ITE00100550,18641104,TMAX,128,262.4
ITE00100550,18640409,TMAX,128,262.4
ITE00100550,18640325,TMAX,130,266.0
ITE00100550,18641004,TMAX,130,266.0
ITE00100550,18640313,TMAX,131,267.8
ITE00100550,18640314,TMAX,131,267.8
ITE00100550,18641115,TMAX,134,273.20000000000005
ITE00100550,18640316,TMAX,135,275.0
ITE00100550,18640322,TMAX,138,280.4
ITE00100550,18640416,TMAX,138,280.4
ITE00100550,18640326,TMAX,140,284.0
ITE00100550,18640505,TMAX,140,284.0
ITE00100550,18640406,TMAX,143,289.40000000000003
ITE00100550,18641114,TMAX,143,289.40000000000003
ITE00100550,18640307,TMAX,143,289.40000000000003
ITE00100550,18640331,TMAX,143,289.40000000000003
ITE00100550,18641003,TMAX,144,291.2
ITE00100550,18641101,TMAX,146,294.8
ITE00100550,18641012,TMAX,146,294.8
ITE00100550,18641011,TMAX,148,298.40000000000003
ITE00100550,18640403,TMAX,148,298.40000000000003
ITE00100550,18640323,TMAX,150,302.0
ITE00100550,18641008,TMAX,150,302.0
ITE00100550,18640401,TMAX,150,302.0
ITE00100550,18641010,TMAX,150,302.0
ITE00100550,18640418,TMAX,151,303.8
ITE00100550,18640312,TMAX,154,309.2
ITE00100550,18641016,TMAX,155,311.0
ITE00100550,18640404,TMAX,155,311.0
ITE00100550,18640506,TMAX,156,312.8
ITE00100550,18640308,TMAX,156,312.8
ITE00100550,18641017,TMAX,156,312.8
ITE00100550,18641028,TMAX,156,312.8
ITE00100550,18641015,TMAX,159,318.2
ITE00100550,18640429,TMAX,159,318.2
ITE00100550,18641030,TMAX,159,318.2
ITE00100550,18640415,TMAX,160,320.0
ITE00100550,18640414,TMAX,160,320.0
ITE00100550,18640311,TMAX,160,320.0
ITE00100550,18641025,TMAX,160,320.0
ITE00100550,18641009,TMAX,160,320.0
ITE00100550,18641024,TMAX,163,325.40000000000003
ITE00100550,18640402,TMAX,165,329.0
ITE00100550,18640411,TMAX,165,329.0
ITE00100550,18640421,TMAX,168,334.40000000000003
ITE00100550,18640504,TMAX,169,336.2
ITE00100550,18640513,TMAX,171,339.8
ITE00100550,18641019,TMAX,173,343.40000000000003
ITE00100550,18641031,TMAX,175,347.0
ITE00100550,18640310,TMAX,175,347.0
ITE00100550,18641018,TMAX,175,347.0
ITE00100550,18640419,TMAX,175,347.0
ITE00100550,18640423,TMAX,175,347.0
ITE00100550,18641013,TMAX,179,354.2
ITE00100550,18641029,TMAX,179,354.2
ITE00100550,18640928,TMAX,180,356.0
ITE00100550,18640309,TMAX,180,356.0
ITE00100550,18640420,TMAX,181,357.8
ITE00100550,18640511,TMAX,181,357.8
ITE00100550,18640405,TMAX,181,357.8
ITE00100550,18640921,TMAX,181,357.8
ITE00100550,18641014,TMAX,181,357.8
ITE00100550,18640527,TMAX,183,361.40000000000003
ITE00100550,18640412,TMAX,185,365.0
ITE00100550,18641001,TMAX,186,366.8
ITE00100550,18640502,TMAX,186,366.8
ITE00100550,18641021,TMAX,188,370.40000000000003
ITE00100550,18641026,TMAX,189,372.2
ITE00100550,18640430,TMAX,190,374.0
ITE00100550,18641002,TMAX,191,375.8
ITE00100550,18641022,TMAX,191,375.8
ITE00100550,18640413,TMAX,193,379.40000000000003
ITE00100550,18640927,TMAX,193,379.40000000000003
ITE00100550,18640514,TMAX,195,383.0
ITE00100550,18640507,TMAX,195,383.0
ITE00100550,18640929,TMAX,196,384.8
ITE00100550,18640512,TMAX,198,388.40000000000003
ITE00100550,18640904,TMAX,201,393.8
ITE00100550,18641027,TMAX,203,397.40000000000003
ITE00100550,18640510,TMAX,203,397.40000000000003
ITE00100550,18641020,TMAX,203,397.40000000000003
ITE00100550,18640501,TMAX,204,399.2
ITE00100550,18640602,TMAX,204,399.2
ITE00100550,18641023,TMAX,205,401.0
ITE00100550,18640609,TMAX,206,402.8
ITE00100550,18640524,TMAX,206,402.8
ITE00100550,18640424,TMAX,208,406.40000000000003
ITE00100550,18640923,TMAX,209,408.2
ITE00100550,18640920,TMAX,209,408.2
ITE00100550,18640528,TMAX,209,408.2
ITE00100550,18640509,TMAX,210,410.0
ITE00100550,18640826,TMAX,210,410.0
ITE00100550,18640529,TMAX,211,411.8
ITE00100550,18640922,TMAX,213,415.40000000000003
ITE00100550,18640601,TMAX,213,415.40000000000003
ITE00100550,18640515,TMAX,213,415.40000000000003
ITE00100550,18640628,TMAX,221,429.8
ITE00100550,18640913,TMAX,221,429.8
ITE00100550,18640828,TMAX,221,429.8
ITE00100550,18640525,TMAX,223,433.40000000000003
ITE00100550,18640926,TMAX,225,437.0
ITE00100550,18640930,TMAX,225,437.0
ITE00100550,18640903,TMAX,226,438.8
ITE00100550,18640827,TMAX,228,442.40000000000003
ITE00100550,18640428,TMAX,229,444.2
ITE00100550,18640522,TMAX,229,444.2
ITE00100550,18640915,TMAX,230,446.0
ITE00100550,18640905,TMAX,231,447.8
ITE00100550,18640425,TMAX,233,451.40000000000003
ITE00100550,18640503,TMAX,233,451.40000000000003
ITE00100550,18640914,TMAX,233,451.40000000000003
ITE00100550,18640516,TMAX,233,451.40000000000003
ITE00100550,18640526,TMAX,234,453.2
ITE00100550,18640925,TMAX,234,453.2
ITE00100550,18640610,TMAX,234,453.2
ITE00100550,18640924,TMAX,234,453.2
ITE00100550,18640426,TMAX,234,453.2
ITE00100550,18640614,TMAX,238,460.40000000000003
ITE00100550,18640523,TMAX,238,460.40000000000003
ITE00100550,18640531,TMAX,238,460.40000000000003
ITE00100550,18640829,TMAX,243,469.40000000000003
ITE00100550,18640629,TMAX,244,471.2
ITE00100550,18640830,TMAX,244,471.2
ITE00100550,18640517,TMAX,245,473.0
ITE00100550,18640916,TMAX,246,474.8
ITE00100550,18640518,TMAX,246,474.8
ITE00100550,18640615,TMAX,248,478.40000000000003
ITE00100550,18640530,TMAX,248,478.40000000000003
ITE00100550,18640919,TMAX,249,480.2
ITE00100550,18640813,TMAX,250,482.0
ITE00100550,18640814,TMAX,250,482.0
ITE00100550,18640427,TMAX,251,483.8
ITE00100550,18640714,TMAX,254,489.2
ITE00100550,18640917,TMAX,254,489.2
ITE00100550,18640703,TMAX,255,491.0
ITE00100550,18640704,TMAX,259,498.2
ITE00100550,18640508,TMAX,260,500.0
ITE00100550,18640611,TMAX,260,500.0
ITE00100550,18640617,TMAX,261,501.8
ITE00100550,18640625,TMAX,263,505.40000000000003
ITE00100550,18640819,TMAX,263,505.40000000000003
ITE00100550,18640616,TMAX,264,507.2
ITE00100550,18640521,TMAX,264,507.2
ITE00100550,18640710,TMAX,265,509.0
ITE00100550,18640519,TMAX,265,509.0
ITE00100550,18640812,TMAX,266,510.8
ITE00100550,18640918,TMAX,268,514.4000000000001
ITE00100550,18640912,TMAX,268,514.4000000000001
ITE00100550,18640906,TMAX,268,514.4000000000001
ITE00100550,18640831,TMAX,268,514.4000000000001
ITE00100550,18640604,TMAX,270,518.0
ITE00100550,18640520,TMAX,270,518.0
ITE00100550,18640702,TMAX,271,519.8
ITE00100550,18640626,TMAX,271,519.8
ITE00100550,18640607,TMAX,273,523.4000000000001
ITE00100550,18640811,TMAX,274,525.2
ITE00100550,18640608,TMAX,275,527.0
ITE00100550,18640630,TMAX,275,527.0
ITE00100550,18640902,TMAX,275,527.0
ITE00100550,18640621,TMAX,278,532.4000000000001
ITE00100550,18640618,TMAX,278,532.4000000000001
ITE00100550,18640620,TMAX,280,536.0
ITE00100550,18640603,TMAX,280,536.0
ITE00100550,18640815,TMAX,281,537.8
ITE00100550,18640705,TMAX,281,537.8
ITE00100550,18640711,TMAX,281,537.8
ITE00100550,18640701,TMAX,284,543.2
ITE00100550,18640911,TMAX,284,543.2
ITE00100550,18640627,TMAX,285,545.0
ITE00100550,18640724,TMAX,285,545.0
ITE00100550,18640818,TMAX,285,545.0
ITE00100550,18640707,TMAX,285,545.0
ITE00100550,18640613,TMAX,285,545.0
ITE00100550,18640715,TMAX,288,550.4
ITE00100550,18640817,TMAX,288,550.4
ITE00100550,18640709,TMAX,288,550.4
ITE00100550,18640726,TMAX,288,550.4
ITE00100550,18640605,TMAX,288,550.4
ITE00100550,18640820,TMAX,290,554.0
ITE00100550,18640907,TMAX,290,554.0
ITE00100550,18640725,TMAX,291,555.8000000000001
ITE00100550,18640825,TMAX,293,559.4
ITE00100550,18640619,TMAX,293,559.4
ITE00100550,18640901,TMAX,293,559.4
ITE00100550,18640729,TMAX,295,563.0
ITE00100550,18640606,TMAX,296,564.8000000000001
ITE00100550,18640824,TMAX,296,564.8000000000001
ITE00100550,18640612,TMAX,296,564.8000000000001
ITE00100550,18640712,TMAX,298,568.4
ITE00100550,18640910,TMAX,298,568.4
ITE00100550,18640719,TMAX,298,568.4
ITE00100550,18640708,TMAX,298,568.4
ITE00100550,18640822,TMAX,298,568.4
ITE00100550,18640908,TMAX,298,568.4
ITE00100550,18640909,TMAX,299,570.2
ITE00100550,18640706,TMAX,300,572.0
ITE00100550,18640803,TMAX,300,572.0
ITE00100550,18640623,TMAX,300,572.0
ITE00100550,18640713,TMAX,303,577.4
ITE00100550,18640717,TMAX,304,579.2
ITE00100550,18640727,TMAX,306,582.8000000000001
ITE00100550,18640718,TMAX,308,586.4
ITE00100550,18640821,TMAX,309,588.2
ITE00100550,18640624,TMAX,309,588.2
ITE00100550,18640728,TMAX,310,590.0
ITE00100550,18640716,TMAX,310,590.0
ITE00100550,18640804,TMAX,310,590.0
ITE00100550,18640807,TMAX,310,590.0
ITE00100550,18640823,TMAX,313,595.4
ITE00100550,18640730,TMAX,313,595.4
ITE00100550,18640731,TMAX,313,595.4
ITE00100550,18640622,TMAX,313,595.4
ITE00100550,18640720,TMAX,315,599.0
ITE00100550,18640723,TMAX,318,604.4
ITE00100550,18640816,TMAX,319,606.2
ITE00100550,18640810,TMAX,321,609.8000000000001
ITE00100550,18640722,TMAX,321,609.8000000000001
ITE00100550,18640721,TMAX,325,617.0
ITE00100550,18640806,TMAX,331,627.8000000000001
ITE00100550,18640805,TMAX,335,635.0
ITE00100550,18640801,TMAX,335,635.0
ITE00100550,18640808,TMAX,341,645.8000000000001
ITE00100550,18640802,TMAX,346,654.8000000000001
ITE00100550,18640809,TMAX,348,658.4
